City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Arona,ES,28.0996,-16.681,66.56,47,0,2.3,clear sky
208,Kyabe,TD,9.4515,18.9449,71.42,36,79,4.09,broken clouds
209,Huarmey,PE,-10.0681,-78.1522,64.83,86,100,8.52,overcast clouds
210,Khani,GE,41.9563,42.9566,38.77,70,89,4.36,overcast clouds
211,Soure,BR,-0.7167,-48.5233,79.99,76,84,8.55,broken clouds
212,Duartina,BR,-22.4144,-49.4039,68.04,58,0,11.07,clear sky
213,Padang,ID,-0.9492,100.3543,75.25,77,100,4.61,moderate rain
214,Souillac,MU,-20.5167,57.5167,70.18,78,40,2.3,scattered clouds
215,Victoria,HK,22.2855,114.1577,80.96,81,55,8.01,broken clouds
216,Londrina,BR,-23.3103,-51.1628,71.26,60,0,5.75,clear sky
217,Touros,BR,-5.1989,-35.4608,77.85,72,4,11.3,clear sky
218,Bethel,US,41.3712,-73.414,41.54,74,0,6.91,clear sky
219,Saint Anthony,US,45.0205,-93.218,22.6,80,100,8.05,overcast clouds
220,Obrnice,CZ,50.505,13.6954,42.12,96,81,3.49,broken clouds
221,Vostok,RU,46.4856,135.8833,27.99,67,94,3.85,overcast clouds
222,Shuangcheng,CN,45.35,126.2833,35.28,53,76,11.16,broken clouds
223,Eureka,US,40.8021,-124.1637,45.79,94,21,4.12,few clouds
224,Bundibugyo,UG,0.7414,30.0417,65.55,97,98,2.71,overcast clouds
225,Camana,PE,-16.6228,-72.7111,64.13,89,99,5.99,overcast clouds
226,Lavrentiya,RU,65.5833,-171.0,33.35,97,100,12.48,overcast clouds
227,Sile,TR,41.1754,29.6133,59.67,57,89,8.01,overcast clouds
228,Leningradskiy,RU,69.3833,178.4167,5.2,94,100,2.86,overcast clouds
229,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,75,71,12.88,broken clouds
230,Bogense,DK,55.5669,10.0886,44.33,61,100,28.34,overcast clouds
231,Baruun-Urt,MN,46.6806,113.2792,37.2,31,0,6.6,clear sky
232,Plettenberg Bay,ZA,-34.0527,23.3716,59.07,76,79,4.83,broken clouds
233,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,100,4.47,overcast clouds
234,Vila Velha,BR,-20.3297,-40.2925,71.55,98,75,3.44,broken clouds
235,Ivanivka,UA,46.7208,34.553,43.5,91,26,7.99,scattered clouds
236,Aswan,EG,24.0934,32.907,60.1,41,0,5.75,clear sky
237,Miles City,US,46.4083,-105.8406,27.57,80,100,21.85,overcast clouds
238,Lubao,PH,14.9167,120.55,87.51,65,90,12.86,overcast clouds
239,Arazede,PT,40.2863,-8.65,64.06,94,97,16.44,overcast clouds
240,Bereda,ES,43.2686,-7.5406,54.57,98,76,8.14,broken clouds
241,Itarema,BR,-2.9248,-39.9167,78.01,74,7,12.71,clear sky
242,Grand-Santi,GF,4.25,-54.3833,72.57,84,100,2.66,overcast clouds
243,Northfield,US,44.4583,-93.1616,20.88,83,0,5.75,clear sky
244,Nishihara,JP,26.1842,127.7558,78.08,76,100,12.66,overcast clouds
245,Gizo,SB,-8.103,156.8419,84.22,66,71,2.24,broken clouds
246,Berdigestyakh,RU,62.0989,126.6992,-10.28,88,93,8.5,overcast clouds
247,Pangody,RU,65.85,74.4859,4.77,96,100,10.76,overcast clouds
248,Shitanjing,CN,39.2342,106.3439,46.04,54,1,13.04,clear sky
249,Svobodnyy,RU,51.4,128.1333,20.82,87,100,11.05,overcast clouds
250,Miguel Alves,BR,-4.1656,-42.8953,74.25,86,16,3.42,few clouds
251,Nouadhibou,MR,20.931,-17.0347,71.58,56,2,13.8,clear sky
252,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,58,0,6.91,clear sky
253,Vardo,NO,70.3705,31.1107,37.38,44,49,10.36,scattered clouds
254,Huautla,MX,21.0333,-98.2833,54.57,87,100,2.89,overcast clouds
255,Taoudenni,ML,22.6783,-3.9836,70.16,19,0,8.57,clear sky
256,Port Shepstone,ZA,-30.7414,30.455,69.58,81,98,5.12,overcast clouds
257,Sobolevo,RU,54.4299,31.8996,23.94,81,8,5.86,clear sky
258,Barra Do Garcas,BR,-15.89,-52.2567,74.98,53,5,5.73,clear sky
259,Omboue,GA,-1.5746,9.2618,74.59,90,91,8.46,moderate rain
260,Mlonggo,ID,-6.5333,110.7,86.16,68,67,5.82,broken clouds
261,Khartoum,SD,15.5518,32.5324,67.01,34,3,1.01,clear sky
262,Magadan,RU,59.5667,150.8,4.53,88,100,7.11,overcast clouds
263,Beringovskiy,RU,63.05,179.3167,31.28,94,100,3.06,overcast clouds
264,Salalah,OM,17.0151,54.0924,73.49,64,20,2.3,few clouds
265,Ojinaga,MX,29.5667,-104.4167,49.15,46,40,13.8,scattered clouds
266,Doha,QA,25.2867,51.5333,76.98,78,0,3.44,clear sky
267,Bubaque,GW,11.2833,-15.8333,82.89,71,100,6.31,overcast clouds
268,Matagami,CA,49.7502,-77.6328,14.11,92,100,5.75,overcast clouds
269,Goba,ET,7.0167,39.9833,45.86,68,1,3.62,clear sky
270,Panarukan,ID,-7.7018,113.9184,89.22,58,85,6.26,overcast clouds
271,Port Lincoln,AU,-34.7333,135.8667,63.45,61,1,16.24,clear sky
272,Udachnyy,RU,66.4167,112.4,-22.56,82,98,3.51,overcast clouds
273,Ilulissat,GL,69.2167,-51.1,5.68,84,100,4.03,overcast clouds
274,Colesberg,ZA,-30.72,25.0972,61.3,40,36,1.41,scattered clouds
275,Aksarka,RU,66.5606,67.7975,4.42,88,57,9.24,broken clouds
276,Nkhata Bay,MW,-11.6066,34.2907,74.26,75,7,3.62,light rain
277,Luganville,VU,-15.5333,167.1667,84.24,69,20,4.94,few clouds
278,Inyonga,TZ,-6.7167,32.0667,68.04,79,100,2.82,overcast clouds
279,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,82,98,9.46,overcast clouds
280,Broken Hill,AU,-31.95,141.4333,66.85,29,0,7.83,clear sky
281,Lincoln,US,40.8,-96.667,27.9,59,100,3.44,overcast clouds
282,Mandera,KE,3.9366,41.867,78.39,68,1,9.26,clear sky
283,Eganville,CA,45.5334,-77.0994,21.31,97,70,4.59,broken clouds
284,Bambanglipuro,ID,-7.95,110.2833,85.73,69,46,6.22,scattered clouds
285,San Rafael,AR,-34.6177,-68.3301,70.79,58,31,2.73,scattered clouds
286,Kaitangata,NZ,-46.2817,169.8464,57.49,81,95,6.62,overcast clouds
287,Tasiilaq,GL,65.6145,-37.6368,33.69,94,100,17.9,light snow
